"User Action Name","Browser Type","Browser Family","Browser Version","Network Time","Server Time","Frontend Time","Visually Complete Time","User Session Count"
"click on ""Book Now"" on page /orange.jsf","Desktop Browser","Chrome","Chrome 40","89.54205607476635","199.7663551401869","208.71028037383178","322.3581395348837","112"
"click on ""Book Now"" on page /orange.jsf","Desktop Browser","Chrome","Chrome 47","158.2275132275132","243.05291005291005","3473.703703703704","2710.8116343490306","188"
"click on ""Book Now"" on page /orange.jsf","Desktop Browser","Chrome","Chrome 52","73.1953125","122.640625","645.6015625","625.1538461538462","128"
"click on ""Book Now"" on page /orange.jsf","Desktop Browser","Chrome","Chrome 54","133.6492537313433","103.19029850746269","4739.2201492537315","3659.8819742489272","260"
"click on ""Book Now"" on page /orange.jsf","Desktop Browser","Chrome","Chrome 55","135.02721088435374","139.9880142533204","4217.29996760609","3300.3761010470334","3192"
"click on ""Book Now"" on page /orange.jsf","Desktop Browser","Chrome","Chrome 56","182.87751561415683","163.26821651630812","6341.722414989591","4791.044411818682","2936"
"click on ""Book Now"" on page /orange.jsf","Desktop Browser","Edge","Edge 12","82.0","47.916666666666664","6860.083333333333","4668.4","12"
"click on ""Book Now"" on page /orange.jsf","Desktop Browser","Edge","Edge 13","240.8095238095238","49.214285714285715","19625.5","15554.223529411765","44"
"click on ""Book Now"" on page /orange.jsf","Desktop Browser","Edge","Edge 14","100.5264705882353","77.9235294117647","4187.123529411765","3463.9466463414633","348"
"click on ""Book Now"" on page /orange.jsf","Desktop Browser","Firefox","Firefox 36","88.22115384615384","221.83653846153845","302.96153846153845","356.0","108"
"click on ""Book Now"" on page /orange.jsf","Desktop Browser","Firefox","Firefox 45","221.6893203883495","119.6504854368932","9797.47572815534","7930.989847715736","108"
"click on ""Book Now"" on page /orange.jsf","Desktop Browser","Firefox","Firefox 46","93.28735632183908","147.0727969348659","1375.7892720306513","1212.3489361702127","260"
"click on ""Book Now"" on page /orange.jsf","Desktop Browser","Firefox","Firefox 48","77.18181818181819","63.142857142857146","1542.012987012987","1152.8025477707006","80"
"click on ""Book Now"" on page /orange.jsf","Desktop Browser","Firefox","Firefox 49","102.48235294117647","247.96470588235294","399.22352941176473","302.5426356589147","76"
